ID,Country,Lat,Long,Year,Month,Day,NAFO,Length,Age,Sex
HI_SS0423,Europe,47.51222,-5.72278,2013,"NA","NA",BOB,347,"NA","NA"
HI_SS0424,Europe,47.51222,-5.72278,2013,"NA","NA",BOB,334,"NA","NA"
HI_SS0425,Europe,46.94639,-5.15528,2013,"NA","NA",BOB,373,"NA","NA"
HI_SS0087,Canada,46.78159,-63.23878,2018,6,7,4T,355,4,F
HI_SS0091,Canada,46.78159,-63.23878,2018,6,7,4T,311,3,M
HI_SS0095,Canada,46.78159,-63.23878,2018,6,7,4T,360,5,F
HI_SS0097,Canada,46.78159,-63.23878,2018,6,7,4T,330,4,F
HI_SS0099,Canada,46.78159,-63.23878,2018,6,7,4T,334,3,F
HI_SS0103,Canada,46.78159,-63.23878,2018,6,7,4T,319,4,M
HI_SS0105,Canada,46.78159,-63.23878,2018,6,7,4T,340,4,F
HI_SS0107,Canada,46.78159,-63.23878,2018,6,7,4T,349,4,F
HI_SS0108,Canada,46.78159,-63.23878,2018,6,7,4T,343,4,F
HI_SS0110,Canada,46.78159,-63.23878,2018,6,7,4T,342,4,F
HI_SS0111,Canada,46.78159,-63.23878,2018,6,7,4T,327,4,M
HI_SS0112,Canada,46.78159,-63.23878,2018,6,7,4T,334,4,M
HI_SS0113,Canada,46.78159,-63.23878,2018,6,7,4T,341,3,M
HI_SS0114,Canada,46.78159,-63.23878,2018,6,7,4T,401,7,F
HI_SS0115,Canada,46.78159,-63.23878,2018,6,7,4T,340,4,F
HI_SS0116,Canada,46.78159,-63.23878,2018,6,7,4T,340,4,F
HI_SS0117,Canada,46.78159,-63.23878,2018,6,7,4T,347,4,M
HI_SS0118,Canada,46.78159,-63.23878,2018,6,7,4T,351,4,M
HI_SS0119,Canada,46.78159,-63.23878,2018,6,7,4T,358,5,F
HI_SS0120,Canada,46.78159,-63.23878,2018,6,7,4T,340,3,F
HI_SS0121,Canada,46.78159,-63.23878,2018,6,7,4T,341,3,F
